_ ___Fitnet4___ _
Mean_TPM_ratio_entropy = 0.927628757083
('conv1_1', 32) 2.13394146356
('conv2_1', 80) 1.35458247054
('conv1_2', 32) 1.10477602787
('conv1_3', 32) 1.09114722758
('conv1_4', 48) 0.982281505484
('conv2_2', 80) 0.94909725622
('conv3_5', 128) 0.872748678436
('conv2_3', 80) 0.864523171211
('conv3_1', 128) 0.849864116059
('conv3_3', 128) 0.765196632169
('conv2_5', 80) 0.745814172022
('conv3_2', 128) 0.74483487216
('conv2_4', 80) 0.730588061371
('conv3_6', 128) 0.728213160716
('conv1_5', 48) 0.685314207276
('conv3_4', 128) 0.610561819963
('conv2_6', 80) 0.556204027782
