_ ___Resnet20___ _
Mean_TPM_ratio_entropy = 0.86277205943
('group1_block0_proj', 32) 1.49473467158
('first_conv', 16) 1.40139264661
('group0_block1_conv1', 16) 1.06095815044
('group2_block0_proj', 64) 1.05356583732
('group0_block0_conv0', 16) 1.03370054985
('group0_block2_conv1', 16) 0.974314752869
('group0_block1_conv0', 16) 0.881532261188
('group1_block2_conv1', 32) 0.880338478746
('group0_block0_conv1', 16) 0.864740096528
('group1_block0_conv1', 32) 0.785635265249
('group2_block2_conv1', 64) 0.762677579787
('group2_block0_conv0', 64) 0.761685099324
('group1_block1_conv1', 32) 0.748210211483
('group1_block1_conv0', 32) 0.74310989121
('group1_block0_conv0', 32) 0.74310989121
('group0_block2_conv0', 16) 0.702918930774
('group2_block2_conv0', 64) 0.685314207276
('group1_block2_conv0', 32) 0.685314207276
('group2_block0_conv1', 64) 0.661563238158
('group2_block1_conv1', 64) 0.653057744278
('group2_block1_conv0', 64) 0.540339536869
